ROI,X,Y
1,1.447,29.684
1,116.340,49.157
1,119.747,50.617
1,170.378,57.433
1,184.009,60.354
1,233.179,67.656
1,279.428,73.012
1,429.859,100.274
1,600.737,120.234
2,1.447,201.535
2,63.275,205.917
2,64.735,208.351
2,135.813,215.653
2,166.970,219.548
2,199.101,224.416
2,265.797,230.745
2,385.071,240.482
3,-0.013,75.446
3,108.550,85.182
3,117.313,86.643
3,134.839,88.103
3,147.497,91.024
3,176.220,94.919
3,196.180,96.866
3,209.324,102.221
3,273.099,106.603
3,303.283,110.011
3,313.020,112.445
3,349.045,115.853
3,356.348,117.800
3,395.294,122.668
3,396.755,126.563
3,409.412,128.510
3,425.964,131.431
3,495.095,139.221
3,506.779,140.681
3,581.751,146.036
3,591.000,148.470
3,607.066,150.418
4,321.296,113.419
4,334.927,118.287
4,340.769,119.261
4,352.453,119.747
4,361.703,121.208
4,378.255,123.642
4,383.610,125.589
4,384.584,129.971
4,387.018,131.431
4,420.609,134.839
4,443.490,141.655
4,463.937,146.523
4,499.963,151.391
5,457.609,149.931
5,526.739,158.694
5,559.843,161.615
5,560.817,162.589
5,608.040,166.970
6,2.421,101.248
6,26.763,105.142
6,114.392,111.471
6,116.340,111.958
6,159.181,115.366
7,3.881,124.616
7,97.840,133.866
7,105.629,135.813
7,437.162,163.075
7,446.411,165.023
7,526.739,171.352
7,534.041,173.299
7,604.632,175.733
8,9.723,149.444
8,183.036,163.075
8,250.218,168.917
8,274.560,177.194
8,421.096,190.825
8,459.069,196.667
8,461.503,197.154
8,561.790,205.430
8,608.526,209.811
9,2.421,244.863
9,125.589,253.139
9,138.734,256.060
9,251.679,263.850
9,276.507,265.310
9,372.900,272.613
9,387.505,275.047
9,405.518,278.454
9,461.503,283.323
9,519.923,290.625
9,600.250,297.928
10,3.881,14.105
10,41.854,18.486
10,45.749,20.434
10,89.564,28.710
10,103.682,32.605
10,176.707,46.236
10,193.259,49.644
10,200.075,50.617
10,234.153,54.999
10,240.968,57.920
10,287.217,61.328
11,113.905,-0.013
11,162.589,4.368
11,165.510,5.829
11,217.114,11.184
11,246.810,13.131
11,260.442,14.592
11,324.217,18.973
11,338.335,22.868
11,535.502,38.933
11,540.370,40.881
11,561.791,42.341
11,565.685,44.289
11,574.935,46.723
11,609.013,48.670
12,214.193,10.697
12,223.929,14.592
12,240.482,17.513
12,272.126,19.947
12,309.612,21.894
12,315.941,23.842
12,346.611,26.276
12,352.453,27.736
12,392.373,31.631
12,438.622,36.499
12,448.359,37.473
12,455.661,40.881
12,591.000,54.025
12,609.013,57.433
13,476.108,-0.500
13,501.423,3.395
13,548.646,7.289
13,603.171,12.644
14,517.002,0.474
14,586.132,15.565
14,608.040,20.434
15,335.414,0.474
15,338.822,2.421
15,342.229,3.881
15,369.979,5.829
15,404.057,12.644
15,464.424,19.947
15,468.806,21.407
15,533.067,28.223
15,565.685,35.526
15,604.632,40.394
16,478.055,23.355
16,481.463,25.789
16,603.171,37.960
17,168.917,-0.013
17,191.798,2.908
17,396.268,16.539
17,391.886,19.947
17,394.320,23.842
17,415.254,27.736
17,429.859,33.091
17,510.186,39.420
17,529.660,42.828
17,536.475,46.236
17,606.092,51.591
18,188.877,18.486
18,294.033,26.763
18,329.572,30.170
18,332.980,32.118
18,332.493,36.499
18,337.361,42.341
18,391.399,50.617
18,403.083,54.999
18,426.938,58.893
18,454.201,60.354
18,458.095,63.275
18,499.963,67.170
18,506.292,69.117
18,518.949,70.577
18,528.686,73.498
18,586.619,79.827
18,595.382,80.314
18,603.171,82.748
19,0.474,63.275
19,119.747,78.367
19,120.234,79.827
19,159.668,85.669
19,184.983,91.998
19,189.364,93.458
19,205.430,95.893
19,218.574,100.761
19,384.584,117.800
20,47.209,77.393
20,69.117,78.367
20,86.156,81.288
20,166.970,89.564
20,184.983,93.945
21,69.117,70.091
21,172.812,77.393
21,176.220,79.340
21,323.243,93.458
21,333.466,95.406
21,334.440,96.379
21,377.281,101.735
21,384.097,104.169
21,387.018,106.116
21,387.018,108.063
22,370.953,108.550
22,428.885,116.826
22,453.714,120.721
22,479.516,126.563
22,486.818,128.997
22,499.476,134.839
22,523.331,144.576
22,534.528,146.036
22,548.646,151.391
22,568.119,153.826
22,605.605,160.154
23,543.778,148.470
23,569.580,150.418
23,577.856,153.826
23,608.039,157.233
24,77.393,64.249
24,112.445,66.196
24,140.194,70.577
24,162.589,72.038
24,171.838,74.959
24,312.533,88.590
25,23.355,94.432
25,156.260,102.708
25,162.102,103.682
25,183.522,106.116
25,214.193,107.577
25,217.601,109.037
25,330.059,117.313
25,333.953,119.261
25,427.425,124.616
25,434.727,127.050
26,424.991,127.537
26,556.922,136.300
26,572.014,140.194
26,596.842,142.142
26,608.039,145.063
27,76.906,99.787
27,105.629,102.708
27,202.996,111.471
27,213.706,113.419
27,389.939,127.050
28,253.626,110.984
28,261.902,113.905
28,320.322,119.747
28,338.335,123.642
28,338.335,126.563
29,128.510,49.157
29,397.241,70.577
29,428.885,74.959
29,495.095,81.288
29,563.251,89.564
29,600.737,91.511
30,293.059,72.525
30,316.427,75.933
30,360.242,77.880
30,391.886,82.261
30,483.897,90.538
30,506.292,91.998
30,523.331,96.379
30,564.711,101.248
30,601.711,103.682
31,246.324,70.091
31,283.810,76.419
31,293.059,78.854
31,320.809,82.261
31,337.848,87.617
31,364.137,89.564
31,375.821,91.998
32,1.934,146.036
32,181.088,168.917
32,187.417,171.838
32,234.640,179.141
32,263.850,184.009
32,269.692,186.443
32,305.230,191.312
32,332.006,196.180
32,336.874,199.588
32,349.045,202.509
32,386.531,207.864
32,390.426,214.680
32,390.913,221.008
32,400.162,225.390
32,407.952,227.337
32,420.122,230.745
32,456.148,239.995
32,468.806,245.350
32,481.950,248.271
32,519.923,258.008
32,522.844,261.902
32,530.633,264.823
32,584.672,274.560
32,606.579,276.994
33,166.970,32.118
33,337.361,50.130
33,344.664,52.078
33,377.281,55.972
33,388.965,57.920
33,409.412,60.354
33,423.044,63.762
33,433.267,67.656
33,485.358,73.498
33,513.107,80.801
34,137.760,82.261
34,199.101,91.024
34,210.785,91.511
34,223.929,94.919
34,230.745,96.379
34,238.534,98.814
34,321.783,107.090
34,355.374,111.471
34,359.755,114.392
35,242.916,95.893
35,314.480,102.221
35,325.190,104.656
35,358.782,107.577
35,362.676,110.498
35,468.806,121.208
35,477.569,122.182
35,540.370,125.103
36,0.474,37.473
36,27.249,40.394
36,91.024,47.696
36,93.945,49.644
36,167.944,58.407
36,297.441,73.012
37,6.802,115.366
37,154.799,125.589
37,159.668,127.537
37,240.968,134.352
37,245.837,136.787
37,250.218,137.760
37,267.257,140.681
37,394.807,151.391
37,420.609,153.339
37,437.648,156.747
37,520.897,162.589
37,545.725,165.510
37,605.605,170.865
38,314.967,145.549
38,339.308,150.418
38,472.700,161.615
39,102.221,128.024
39,248.758,138.734
40,137.273,130.458
40,144.576,132.892
40,208.838,138.247
40,230.745,142.142
40,256.060,147.984
40,271.639,149.931
40,282.836,154.799
40,312.046,157.720
40,351.966,160.154
40,358.295,161.128
40,361.703,163.075
40,440.083,170.378
40,444.951,171.838
40,570.553,184.983
40,597.816,187.904
41,99.300,146.523
41,279.915,160.641
41,295.494,162.589
41,299.875,163.562
41,319.348,165.023
41,332.980,166.483
41,337.848,169.404
41,360.242,172.325
41,383.123,174.273
41,391.399,178.167
41,395.781,180.115
41,405.031,182.549
41,436.675,188.391
41,451.767,192.772
41,490.226,197.154
42,327.625,160.641
42,334.927,162.102
42,394.807,167.944
42,400.162,172.812
42,446.898,178.654
42,453.227,181.575
42,514.081,186.930
42,516.515,187.417
42,581.751,194.719
42,586.132,195.693
42,602.684,197.154
43,43.802,163.075
43,130.458,169.404
43,139.708,170.865
43,167.457,174.759
43,178.654,175.733
43,185.470,179.141
43,210.785,183.036
43,343.690,195.693
43,367.058,198.614
43,389.452,201.535
43,397.241,205.430
44,283.323,184.009
44,319.348,187.904
44,330.059,190.825
44,418.662,199.101
44,424.504,200.075
44,460.043,202.509
44,478.542,211.272
44,506.779,215.653
44,509.213,216.627
44,544.265,219.548
44,557.896,222.956
45,1.447,171.838
45,57.433,178.654
45,67.656,181.088
45,113.905,185.470
45,124.129,188.391
45,170.378,195.206
45,174.759,197.640
45,215.166,200.561
45,215.653,202.996
45,251.679,205.430
45,253.139,207.377
45,260.929,208.838
45,286.244,210.298
45,332.493,215.166
45,336.387,217.601
45,396.755,221.495
45,398.215,225.390
45,456.635,231.719
45,462.477,232.692
45,476.108,234.153
45,486.332,235.613
45,506.292,237.074
45,518.949,238.534
45,559.843,242.429
45,581.751,246.324
45,605.119,247.297
46,3.395,164.049
46,45.749,169.891
46,77.880,173.786
46,127.537,178.167
46,163.075,186.443
46,211.272,191.798
46,265.310,196.180
46,329.572,201.048
46,343.690,202.996
46,443.490,213.219
46,568.606,224.903
47,205.917,195.206
47,218.574,199.588
47,242.916,202.509
47,249.245,204.943
48,215.653,193.259
48,249.245,200.075
48,260.929,201.048
48,270.178,202.996
48,290.625,204.943
48,299.875,207.864
48,328.111,210.298
48,339.308,216.140
49,93.945,196.180
49,190.338,203.969
49,208.351,204.943
49,245.837,207.864
50,3.881,198.614
50,28.710,202.509
50,153.826,213.706
50,174.759,217.114
50,249.245,223.929
50,262.876,232.692
50,303.283,238.047
50,310.585,239.995
50,378.255,244.863
50,508.726,258.981
51,320.809,241.455
51,376.794,246.810
51,385.557,249.245
51,394.807,254.600
51,438.622,258.494
51,523.818,266.284
51,529.173,267.744
