ROI,X,Y
1,1.933,39.409
1,41.842,41.356
1,203.911,55.470
1,234.572,57.903
1,281.295,66.177
1,303.683,69.584
1,307.089,78.344
1,320.717,83.211
1,334.831,85.644
1,330.937,89.538
1,346.998,91.971
1,359.165,101.705
1,355.272,104.625
1,356.732,110.952
1,474.511,126.527
1,478.405,131.394
1,511.013,134.800
2,8.747,-0.500
2,31.135,5.340
2,59.363,13.614
2,70.070,18.968
2,76.397,25.781
2,83.211,27.241
2,93.918,34.055
2,116.793,36.489
2,119.713,39.409
2,153.781,43.302
2,174.222,46.709
2,186.390,51.089
2,192.230,59.363
2,227.272,67.150
2,242.846,74.451
2,261.827,78.831
2,264.260,80.778
2,294.435,89.538
2,298.816,90.511
2,321.203,99.272
2,338.238,104.139
2,404.914,112.899
2,408.808,115.819
2,413.188,121.660
2,438.983,124.580
2,446.770,126.527
2,461.371,128.473
2,469.645,132.854
2,484.245,135.774
3,14.101,54.983
3,54.983,60.337
3,71.530,64.230
3,81.264,66.663
3,89.051,67.150
3,94.405,69.584
3,131.880,72.504
3,142.101,75.424
3,145.994,79.317
3,214.131,90.025
3,235.546,91.971
3,269.614,99.272
4,12.154,112.413
4,395.667,149.888
4,397.614,150.861
4,440.443,157.188
4,508.580,162.542
5,61.310,130.907
5,310.496,153.781
5,313.416,155.241
5,333.371,156.215
5,337.751,157.188
5,429.736,164.489
5,430.222,165.462
5,508.580,171.789
6,132.367,140.641
6,156.702,144.048
6,158.648,145.508
6,176.169,146.481
6,179.089,147.454
6,269.127,159.622
6,294.922,164.975
6,304.169,167.895
6,328.990,172.762
6,338.238,176.656
6,369.386,182.010
6,384.960,187.363
6,411.241,191.257
6,413.675,192.717
6,461.857,198.070
6,480.838,201.477
6,481.325,201.964
7,7.774,160.108
7,36.489,162.542
7,37.462,163.029
7,86.618,166.435
7,99.759,169.356
7,243.333,182.010
7,246.740,183.956
7,271.074,185.416
7,290.542,189.310
7,355.272,194.663
7,359.165,196.124
7,365.006,200.504
7,393.721,204.397
7,396.641,205.371
7,475.971,213.158
7,509.553,217.051
8,106.572,167.895
8,226.298,178.116
8,230.679,178.603
8,254.040,181.523
8,263.774,183.956
9,456.991,203.911
9,511.013,209.751
10,62.283,184.930
10,149.401,189.310
10,153.295,190.770
10,268.154,200.504
10,279.348,200.990
10,281.781,201.964
10,312.930,205.371
10,373.279,210.238
10,389.827,212.184
10,451.637,217.051
10,509.553,221.432
11,133.340,190.770
11,156.702,193.690
11,164.489,195.637
11,161.082,196.610
11,179.576,198.070
11,180.063,200.017
11,221.918,203.911
